text,count,name
actually,19,Alden
side,18,Alden
quite,17,Alden
sure,17,Alden
steak,17,Alden
available,17,Alden
sauce,17,Alden
served,16,Alden
thing,14,Alden
definitely,14,Alden
front,13,Alden
meat,13,Alden
lot,13,Alden
im,12,Alden
rice,12,Alden
food,42,Alden
well,37,Alden
good,34,Alden
chicken,34,Alden
place,29,Alden
sauce,29,Alden
hot,24,Alden
service,24,Alden
night,23,Alden
bar,23,Alden
spot,22,Alden
inside,21,Alden
people,20,Alden
nice,20,Alden
like,20,Alden
