text,count,name
potatoes,5,Evan
two,5,Evan
fried,5,Evan
place,5,Evan
loved,4,Evan
soup,4,Evan
delicious,4,Evan
salad,4,Evan
highly,4,Evan
veggie,4,Evan
correct,4,Evan
service,4,Evan
etc,4,Evan
sauces,4,Evan
definitely,3,Evan
good,44,Evan
salad,29,Evan
chicken,22,Evan
ordered,16,Evan
rice,13,Evan
caesar,13,Evan
quite,12,Evan
inside,11,Evan
bad,10,Evan
food,9,Evan
crab,9,Evan
okay,8,Evan
bibimbap,8,Evan
fish,8,Evan
chips,8,Evan
