text,count,name
bit,4,Kent
inside,4,Kent
real,4,Kent
atmosphere,3,Kent
things,3,Kent
dont,3,Kent
time,3,Kent
order,3,Kent
plus,3,Kent
chicken,3,Kent
compared,3,Kent
three,3,Kent
salad,3,Kent
main,3,Kent
sure,3,Kent
like,23,Kent
menu,14,Kent
dish,13,Kent
great,12,Kent
didnt,11,Kent
chicken,11,Kent
good,11,Kent
food,10,Kent
staff,10,Kent
really,10,Kent
though,10,Kent
dont,10,Kent
place,10,Kent
available,10,Kent
order,9,Kent
